"","churned","DispatchDay_1","Cust_Type","Cust_age","Total_Call_revenue","mean_time_to_resolve"
"362","0",1506,"1",914,2334.47,1
"363","1",2089,"1",1004,1250.06,2.2
"364","0",1405,"1",250,1682.82,1
"365","1",1984,"1",884,1449.8,2.4
"366","1",1156,"1",968,1374.01,2.2
"367","0",1512,"1",1004,1231.73,1
"368","0",1161,"1",572,5781.13,1.6
"369","1",1159,"1",1044,1407.77,0.4
"370","0",1642,"1",803,3980,1.2
"371","0",1166,"1",171,976.41,2
"372","0",1308,"3",278,1731.85,1.6
"373","0",1164,"3",733,1416.14,4.2
"374","0",1186,"1",301,2031.91,2.4
"375","0",2201,"3",1037,7742.41,1.4
"376","0",1170,"3",805,1784.75,0
"377","1",1173,"1",1004,1047,2.2
"378","0",2212,"1",1041,1044.12,0
"379","0",1169,"3",621,2604.13,1.2
"380","0",1181,"1",582,1447.91,0
"381","0",1261,"1",587,2677.46,0.4
"382","0",1176,"2",581,2134.17,0
"383","1",2217,"1",1109,1222.91,0
"384","0",1332,"1",901,2164.28,1
"385","1",1186,"1",1034,1360.8,0.8
"386","0",1190,"1",694,1998.46,0.4
"387","0",1190,"2",986,1358.68,0
"388","0",1214,"3",736,1626.73,0
"389","1",1997,"3",882,1359.38,0.6
"390","0",1315,"1",625,1286.87,0.2
"391","0",1206,"1",159,1125,5
"392","0",1204,"3",477,2018.53,0.2
"393","1",2222,"3",1018,3869.31,1
"394","0",1208,"1",642,1680.12,0.6
"395","0",1214,"1",377,1332.46,2
"396","1",1843,"2",802,1052.14,0.6
"397","0",1360,"2",626,976.56,0.4
"398","1",2000,"1",786,1840.02,0
"399","0",1219,"2",651,1985.13,2
"400","1",1222,"1",978,1437.35,1.8
"401","0",1421,"1",697,1847,0.4
"402","0",1548,"1",491,1379,0.8
"403","0",1209,"1",483,3343.42,2
"404","0",1225,"1",861,1590.18,0.4
"405","0",1232,"1",924,3960,10.2
"406","0",1243,"1",946,1795.69,0.2
"407","0",1681,"2",918,1346.05,0.4
"408","0",1697,"1",877,1010.48,0.2
"409","1",2078,"1",862,1111.74,0.4
"410","0",1231,"1",991,3519.63,1.2
"411","0",1308,"1",802,3203.09,0.8
"412","1",2132,"1",944,1796,0.4
"413","1",2202,"2",971,2211.19,0.2
"414","0",1587,"1",570,1214.43,0.4
"415","0",1717,"3",616,1227.78,0.4
"416","0",1241,"1",943,1578.89,0
"417","0",1333,"3",95,8651,1
"418","0",1241,"1",249,6004.45,1.6
"419","0",1489,"1",670,1489.12,0.2
"420","0",1156,"1",1040,2303.73,0.4
"421","1",1540,"1",785,1010,0.2
"422","0",1497,"3",861,2220,0
"423","0",1305,"1",754,1907.38,0.2
"424","0",1249,"1",903,920.2,0.2
"425","0",1250,"1",556,4935.39,0
"426","0",1143,"1",981,1584.85,0.2
"427","0",1641,"1",462,2396.8,1.8
"428","0",1254,"2",583,1497.99,1.4
"429","0",1851,"1",563,10012.5,6.6
"430","1",1264,"1",901,2246.1,2.4
"431","1",2120,"3",860,902.52,0
"432","0",1261,"1",750,2781.38,1.6
"433","1",1262,"1",933,1139.37,0.2
"434","0",1263,"3",945,1371.03,0.8
"435","0",1264,"1",867,5566.17,3.6
"436","0",1654,"1",427,1088.42,0.4
"437","0",1308,"1",48,1448.49,0.4
"438","0",1267,"3",861,940.58,0.4
"439","0",1544,"1",905,1157.92,0.2
"440","1",1992,"1",502,1037.94,0.4
"441","0",1274,"3",554,2390.44,0.8
"442","1",2045,"1",789,934.64,0.2
"443","0",1276,"1",877,1176.35,0.2
"444","0",1281,"1",533,4385,1.4
"445","0",1312,"2",353,2271.22,1.6
"446","0",2020,"1",735,1925.26,8
"447","0",2072,"1",786,1072.13,0.4
"448","0",1523,"3",211,1956.04,0
"449","0",2129,"3",842,3453.83,0.8
"450","0",1291,"1",633,2232.15,2.2
"451","0",1289,"1",267,1436.07,0.4
"452","0",1726,"3",918,1558.65,0
"453","0",1522,"1",764,2361.71,1.4
"454","0",1294,"1",125,2074.69,0.2
"455","0",1751,"1",598,770.02,0.2
"456","0",1293,"2",406,1667.74,0.6
"457","1",1857,"1",920,1218.82,0.2
"458","1",1879,"1",734,1059.07,0.8
"459","0",1419,"1",381,1939.66,0
"460","0",1299,"1",769,1012.48,0.8
"461","0",1301,"1",578,1036.54,0.4
"462","0",1624,"1",322,2341.95,0.2
"463","0",1304,"1",410,1118.83,0.2
"464","1",1899,"1",806,2222.1,1.4
"465","0",1310,"2",450,3376.14,5
"466","1",1962,"1",650,1377,0.2
"467","0",1463,"1",462,2100.8,0.2
"468","1",1316,"1",910,3018.48,0.6
"469","0",1525,"3",906,1046.46,0
"470","0",1338,"1",440,2137.77,2.6
"471","0",1324,"1",672,1448.75,9.2
"472","0",1324,"1",641,1653.76,0
"473","1",1325,"1",649,2716.69,0
"474","0",1448,"1",408,1648.27,0
"475","0",1408,"1",268,2345.23,1.4
"476","1",1725,"2",664,2217.24,0.6
"477","1",2132,"3",802,1392.5,0
"478","0",1345,"2",635,2453.41,0.4
"479","1",1591,"1",371,1769.57,6.6
"480","0",1337,"1",814,3475.13,1.6
"481","0",1337,"1",589,4744.12,0
"482","0",1341,"1",455,1002.05,0.8
"483","0",1350,"1",748,1394.1,1.2
"484","0",1414,"3",434,2211.98,2
"485","0",1346,"1",74,1614.92,0.8
"486","0",1617,"1",274,1241,0.2
"487","0",1350,"2",824,2740,0.4
"488","0",1257,"2",348,743.43,2
"489","0",1918,"2",795,1453.37,0
"490","1",2218,"2",866,2340.91,0.6
"491","0",1572,"1",405,1933.4,0.2
"492","0",1354,"3",479,2123.97,0
"493","1",2113,"3",802,1454.01,1.4
"494","0",1371,"1",699,3369.04,1
"495","0",1161,"1",787,1358.99,0.2
"496","0",1358,"3",168,966.53,0.6
"497","0",1359,"1",412,1849.88,0.2
"498","1",1359,"2",727,9250,3.8
"499","0",1360,"3",364,1025.82,0.2
"500","0",1574,"2",230,1923.9,0.4
"501","0",1211,"3",875,15874,4.4
"502","1",1368,"2",835,1940.04,0.2
"503","0",1417,"3",273,2365.06,0
"504","1",1373,"3",764,3705.93,1.8
"505","0",1390,"1",262,1846,0.4
"506","0",1691,"1",317,2996.3,0.2
"507","0",1381,"1",151,872.54,0.4
"508","0",1408,"1",504,1020,0.2
"509","0",1869,"3",741,3218.22,0
"510","0",1376,"3",733,1364,0.2
"511","0",1620,"1",240,3831.85,4.6
"512","0",1410,"3",235,1370.4,0.2
"513","1",1385,"3",740,1932,1
"514","0",1385,"1",494,9688.74,1.4
"515","1",1667,"1",677,967.2,0.4
"516","0",1828,"3",819,3314.04,1
"517","0",1770,"2",515,1873.32,0
"518","1",1394,"3",825,3581.21,2
"519","0",1399,"3",341,1243.35,0.6
"520","1",2161,"1",763,957.5,0
"521","0",1607,"1",540,690.8,0.8
"522","0",1400,"3",826,1229.61,0
"523","0",1668,"1",365,1504.48,0
"524","1",1403,"2",688,968.28,0
"525","0",1459,"1",637,1083,0.6
"526","0",1414,"3",795,2690.22,11
"527","1",1424,"1",806,4326.26,4.2
"528","1",1093,"1",1133,1717.6,1.2
"529","0",1422,"3",87,5847.65,0.2
"530","1",1116,"1",965,679.87,0
"531","0",1424,"1",239,3215.46,0.6
"532","0",1426,"1",186,3280.14,1
"533","1",1430,"1",735,1413.86,0.4
"534","1",1443,"1",749,2116.69,0
"535","1",2096,"1",709,1478.8,0.8
"536","1",1980,"1",674,943,0.8
"537","1",1793,"1",643,1985.4,2
"538","0",1578,"3",244,6408.41,0.2
"539","0",1457,"1",391,1406.21,0.2
"540","1",1628,"1",746,1916.6,2
"541","0",1570,"1",148,935,0
"542","1",2182,"1",721,4468.75,8.4
"543","1",1735,"2",646,2627.26,2.2
"544","1",2065,"3",758,3693.65,0.2
"545","1",1472,"1",732,2368.58,0.8
"546","1",1586,"1",306,1215,0
"547","0",1477,"3",553,1970.6,0.2
"548","1",1661,"3",330,1425.5,0.2
"549","1",1486,"1",639,2599.29,0.2
"550","1",2194,"1",704,1068.88,0.2
"551","1",1493,"3",636,1379.89,0.2
"552","0",1494,"1",46,2551.93,0.4
"553","1",1732,"1",714,2468.25,0
"554","1",2005,"2",507,1590.88,0.4
"555","1",1543,"1",651,2172.88,0.4
"556","1",2051,"3",696,1229.85,0.8
"557","0",1584,"3",125,4390.49,0.4
"558","0",1632,"1",369,740.42,0.2
"559","1",1660,"2",275,1475.38,0.4
"560","0",1249,"1",749,1289.58,0.8
"561","1",1518,"1",682,1959.56,1
"562","1",1668,"1",328,2121.26,1
"563","1",1953,"1",523,2440.2,0.6
"564","1",1524,"1",590,1758.62,22.4
"565","0",1427,"1",420,2298.4,0.8
"566","0",1259,"1",431,2564.17,0.2
"567","1",1715,"1",613,1698.7,0
"568","1",1982,"1",459,1071.06,0.4
"569","1",1996,"3",517,1922.57,3
"570","1",2212,"3",677,3358.39,0.2
"571","0",1584,"3",448,1923.91,0
"572","1",1547,"1",545,995,0.4
"573","1",1554,"1",357,2625.13,0.2
"574","1",1557,"1",589,1725.77,0.2
"575","0",1915,"1",356,2031.58,0
"576","1",1564,"3",600,1383.25,0
"577","1",1565,"2",531,3799.76,1.2
"578","1",1290,"2",863,2732.44,3.6
"579","1",1833,"3",187,779,0.2
"580","1",2138,"1",649,944.4,0.6
"581","0",1581,"3",226,5509.37,0.4
"582","1",1582,"1",640,3386.03,0
"583","1",1959,"1",374,962.28,0.2
"584","1",1590,"1",306,4093.5,1.6
"585","1",2074,"3",614,991.59,5
"586","0",1697,"1",313,1376.37,0
"587","1",1595,"1",521,4751.67,0
"588","1",2063,"1",465,4618.08,1.6
"589","1",1600,"1",527,2149.3,0
"590","1",1712,"1",263,1356.2,0.8
"591","1",1605,"2",562,1755,0.4
"592","1",1609,"1",523,5022.72,0.8
"593","1",2020,"1",509,1774.58,0
"594","1",1879,"1",280,1046,0.6
"595","0",1373,"1",875,1036.45,0
"596","1",1819,"3",589,3397,0.8
"597","1",1620,"1",412,1045,2
"598","1",2208,"2",595,765.6,0.666666666666667
"599","0",1317,"1",592,1188.37,0.2
"600","1",2216,"2",590,2128.37,0
"601","1",1899,"3",570,2561.61,0.6
"602","1",1640,"1",491,1279.12,0
